epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2995.09,1.03344,0.75367,1.31225,0.78555,0.73262,0.77804,0.5155,1.31953,1.0138,1.63527,0.000614,0.000614,0.000614
44,3068.97,1.06323,0.72223,1.32507,0.80525,0.7,0.76533,0.49598,1.35792,1.05874,1.67844,0.000581,0.000581,0.000581
45,3141.81,1.06566,0.73765,1.32381,0.81392,0.75556,0.78238,0.50095,1.35693,1.09822,1.6822,0.000548,0.000548,0.000548
46,3213.83,1.01528,0.67887,1.28544,0.80833,0.7,0.75799,0.50463,1.34974,1.09672,1.68512,0.000515,0.000515,0.000515
47,3283.28,0.99199,0.67535,1.26083,0.89676,0.65556,0.77814,0.50007,1.32903,1.06524,1.69232,0.000482,0.000482,0.000482
48,3359.01,0.99817,0.66561,1.29552,0.77692,0.76667,0.80219,0.53083,1.30728,1.01231,1.64144,0.000449,0.000449,0.000449
49,3436,0.98666,0.66576,1.2564,0.81707,0.76667,0.79684,0.50845,1.38708,1.01078,1.71703,0.000416,0.000416,0.000416
50,3509.31,0.98411,0.65651,1.28546,0.78003,0.74865,0.7758,0.5064,1.38171,1.0534,1.68525,0.000383,0.000383,0.000383
51,3583.6,0.88635,0.60613,1.2699,0.82406,0.72861,0.79804,0.51083,1.3764,1.03211,1.68703,0.00035,0.00035,0.00035
52,3658.05,0.8866,0.58071,1.27169,0.83543,0.73325,0.79479,0.50818,1.34667,0.99248,1.65695,0.000317,0.000317,0.000317
53,3735.39,0.83948,0.54535,1.22522,0.85273,0.76667,0.81851,0.52674,1.31765,0.98995,1.64614,0.000284,0.000284,0.000284
54,3813.11,0.85952,0.52701,1.23862,0.95377,0.68769,0.80363,0.5344,1.28816,0.95119,1.62982,0.000251,0.000251,0.000251
55,3885.39,0.83881,0.5506,1.25521,0.90725,0.73333,0.78866,0.51893,1.29926,0.95516,1.65029,0.000218,0.000218,0.000218
56,3959.35,0.81601,0.50819,1.22273,0.91394,0.708,0.79498,0.5238,1.29575,0.96148,1.63906,0.000185,0.000185,0.000185
57,4029.22,0.79316,0.49337,1.18891,0.84952,0.74444,0.80162,0.53384,1.29087,0.96629,1.62907,0.000152,0.000152,0.000152
58,4097.52,0.79246,0.48083,1.21308,0.86008,0.75133,0.79739,0.52771,1.32145,0.99511,1.66345,0.000119,0.000119,0.000119
59,4167.22,0.78439,0.49187,1.19279,0.85993,0.75036,0.8018,0.5322,1.30522,0.98138,1.65147,8.6e-05,8.6e-05,8.6e-05
60,4238.53,0.78577,0.46856,1.18366,0.87975,0.75556,0.806,0.54018,1.28084,0.95115,1.63553,5.3e-05,5.3e-05,5.3e-05
